match_id,game_id,minute,timestamp_ms,p1_position_x,p1_position_y,p1_level,p1_total_gold,p1_damage_dealt,p1_damage_taken,p1_kills,p1_deaths,p1_assists,p2_position_x,p2_position_y,p2_level,p2_total_gold,p2_damage_dealt,p2_damage_taken,p2_kills,p2_deaths,p2_assists,p3_position_x,p3_position_y,p3_level,p3_total_gold,p3_damage_dealt,p3_damage_taken,p3_kills,p3_deaths,p3_assists,p4_position_x,p4_position_y,p4_level,p4_total_gold,p4_damage_dealt,p4_damage_taken,p4_kills,p4_deaths,p4_assists,p5_position_x,p5_position_y,p5_level,p5_total_gold,p5_damage_dealt,p5_damage_taken,p5_kills,p5_deaths,p5_assists,p6_position_x,p6_position_y,p6_level,p6_total_gold,p6_damage_dealt,p6_damage_taken,p6_kills,p6_deaths,p6_assists,p7_position_x,p7_position_y,p7_level,p7_total_gold,p7_damage_dealt,p7_damage_taken,p7_kills,p7_deaths,p7_assists,p8_position_x,p8_position_y,p8_level,p8_total_gold,p8_damage_dealt,p8_damage_taken,p8_kills,p8_deaths,p8_assists,p9_position_x,p9_position_y,p9_level,p9_total_gold,p9_damage_dealt,p9_damage_taken,p9_kills,p9_deaths,p9_assists,p10_position_x,p10_position_y,p10_level,p10_total_gold,p10_damage_dealt,p10_damage_taken,p10_kills,p10_deaths,p10_assists,t100_voidgrubs,t100_dragons,t100_barons,t100_turrets,t100_inhibitors,t200_voidgrubs,t200_dragons,t200_barons,t200_turrets,t200_inhibitors,average_rank,win
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,0,0,554,581,1,500,0,0,0,0,0,593,464,1,500,0,0,0,0,0,557,345,1,500,0,0,0,0,0,458,271,1,500,0,0,0,0,0,335,269,1,500,0,0,0,0,0,14500,14511,1,500,0,0,0,0,0,14539,14394,1,500,0,0,0,0,0,14503,14275,1,500,0,0,0,0,0,14404,14201,1,500,0,0,0,0,0,14281,14199,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,1,60012,7301,6376,1,500,0,0,0,0,0,7913,3532,1,500,0,0,0,0,0,8420,4834,1,500,0,0,0,0,0,10126,3197,1,500,0,0,0,0,0,10251,3085,1,500,0,0,0,0,0,1422,12961,1,500,0,0,0,0,0,5713,8187,1,500,0,0,0,0,0,8225,8743,1,500,0,0,0,0,0,13669,3656,1,500,0,0,0,0,0,13549,3057,1,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,2,120029,2101,12227,1,632,0,134,0,0,0,7615,3742,2,616,0,919,0,0,0,7332,7657,1,632,96,0,0,0,0,11811,1988,1,597,184,201,0,0,0,12465,1850,1,567,0,131,0,0,0,2395,12937,1,583,134,0,0,0,0,5278,8826,2,631,0,605,0,0,0,7915,8177,1,604,0,130,0,0,0,12607,2677,1,618,237,201,0,0,0,13045,2521,1,562,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,3,180106,1530,10100,3,881,486,959,0,0,0,3993,8440,3,1043,0,1895,0,0,0,6409,7120,3,916,394,242,0,0,0,11225,1722,2,874,184,414,0,0,0,11938,1581,2,753,0,439,0,0,0,2539,12445,3,888,917,674,0,0,0,5017,8842,2,939,0,1649,0,0,0,7379,7211,3,916,207,507,0,0,0,12847,2853,2,958,537,210,0,0,0,12534,2254,2,743,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,4,240131,1484,11640,4,1164,486,959,0,1,1,6054,12348,3,1261,0,2176,1,0,0,6956,6625,4,1248,944,1187,0,1,0,11038,1050,3,1192,533,845,0,0,0,12084,1382,3,957,101,778,0,0,0,2601,12973,4,1136,917,683,1,1,0,7378,6855,3,1382,358,2189,0,0,1,7448,6777,4,1471,784,1235,1,0,0,12108,1369,3,1269,1006,542,0,0,0,12072,1856,3,953,400,201,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,5,300161,1566,11323,4,1465,1048,1975,0,1,1,7296,1623,4,1803,331,2476,1,0,1,10627,3290,5,1542,962,1187,1,1,1,10527,1560,4,1413,659,1180,1,0,1,11239,1397,4,1142,537,1650,0,1,0,2211,12452,5,1806,2007,2185,1,1,0,9974,4425,4,1709,358,2921,0,0,1,8654,8238,5,1807,784,1235,1,0,0,11674,2240,4,1654,1778,1130,1,1,0,11941,1904,4,1149,777,432,0,1,1,0,0,0,0,0,0,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,6,360179,1090,11475,5,1797,1174,2269,0,1,1,10060,4528,4,2021,1163,3835,1,0,2,8798,5588,5,2114,1618,1502,2,1,1,9928,4139,5,2024,1066,1199,1,0,1,9958,5129,4,1303,537,2485,0,1,1,4606,10083,6,2103,2098,2328,1,1,0,7199,9706,4,1902,470,3999,0,0,1,7375,7524,6,2055,784,1304,1,1,0,12837,3364,5,2160,2181,1826,1,1,0,14340,14391,4,1459,1097,1367,0,1,1,1,1,0,0,0,2,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,7,420197,3204,12788,6,2131,1174,2288,0,1,1,5576,8253,5,2416,1543,4309,1,1,2,5547,6218,6,2818,2615,2547,2,2,1,12654,2695,5,2220,1326,1436,1,0,1,13423,2599,5,1645,1172,2719,0,1,1,6043,6658,6,2297,2955,3440,1,1,1,4386,11996,5,2223,470,4879,1,0,1,7548,7666,6,2322,1259,2570,2,1,0,13383,3562,5,2587,2468,2384,1,1,0,13283,3711,4,1639,1170,1367,0,1,1,1,1,0,0,0,2,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,8,480206,923,5253,6,2470,1174,2296,0,1,1,2765,8234,5,2539,1895,6091,2,1,2,6905,6919,6,2969,3139,2678,2,2,1,10229,1319,5,2412,1606,1691,1,0,2,9219,1377,5,1823,1260,3099,0,1,2,2520,12920,6,2676,3493,4306,1,1,1,12274,6698,6,2786,601,5854,1,1,1,7554,8049,7,3105,1793,3148,2,1,0,11815,1847,6,3061,2926,2636,1,1,0,11494,1246,5,1914,1323,1643,0,1,1,1,1,0,0,0,2,0,0,0,0,,1
bd24f8a8-49e1-4850-b08a-5ad0fe9b0c84,NA1_5212141356,9,540229,1002,11068,7,2788,1174,2382,0,1,1,13737,3273,6,3446,2315,7487,3,1,2,6782,6734,7,3280,3224,2737,2,2,1,13028,2789,6,2829,3282,2985,1,1,3,13335,3092,6,2186,1825,4213,0,2,2,2200,11517,7,3008,3493,4332,1,1,1,13492,2825,6,3093,1181,8104,2,1,1,7425,7804,8,3438,1793,3334,2,1,0,13548,3931,6,3247,4065,3399,1,2,1,13757,3299,5,2131,1835,2445,1,1,1,1,1,0,0,0,2,0,0,0,0,,1
